botanical,family,trade_name,source,med_sys_tag
Vitex negundo L.,VERBENACEAE,Neergundi,W/C,AFSTU
Vitis vinifera L.,VITACEAE,Draksh,C,AFSTU
Walsura trifoliata (A.Juss.) Harms,MELIACEAE,Valsura,W,FS
Wedelia chinensis (Osbeck) Merr.; [ = W. calendulacea (L.) Less.],ASTERACEAE,Bhangra,C/W,AF
Withania coagulans Dunal,SOLANACEAE,Paneer- dodi,W,AU
Withania somnifera (L.) Dunal,SOLANACEAE,"Ashwagandha,; Asgandha",C/W,AFHSTU
Woodfordia fruticosa (L.) Kurz,LYTHRACEAE,"Dhaiphool,; Dhavadiphool",W,AFSTU
Wrightia arborea (Dennst.) Mabb.,APOCYNACEAE,Kutajah,W,AF
Wrightia tinctoria (Roxb.) R.Br.,APOCYNACEAE,Indrajau,C/W,AFHSU
Xylia xylocarpa (Roxb.) Taub.,MIMOSACEAE,Trumullu,W,AF
Zanthoxylum acanthopodium DC.,RUTACEAE,"Kabab; Khandan,; Tummad",W,ASU
Zanthoxylum armatum DC.,RUTACEAE,Tejbal,W,A
Zanthoxylum nitidum (Roxb.) DC.,RUTACEAE,Kumkumada,W,F
Zanthoxylum rhetsa (Roxb.) DC.,RUTACEAE,"Tejbal,; Triphala",W,AFS
Zea mays L.,POACEAE,Maize,C,AFHSUW
Zehneria umbellata (Klein) Thwaites,CUCURBITACEAE,Karuvikkilann Climber,Root,
Zingiber officinale Roscoe,ZINGIBERACEAE,"Soonth, Sonth Herb","Root,",
Zingiber zerumbet (L.) Roscoe ex Sm.,ZINGIBERACEAE,Narkachur Herb,Fruit,
Ziziphus jujuba (L.) Gaertn.; [= Z. mauritiana Lam.],RHAMNACEAE,Ber Tree,Fruit,
Ziziphus sativa Gaertn.; [= Z. jujuba Mill.; Z. vulgaris Lam.],RHAMNACEAE,Unnab Tree,Fruit,
Ziziphus xylopyrus (Retz.) Willd.,RHAMNACEAE,Ghontaphala Shrub,Fruit,
